Station,Local authority,Managed by,Station code,Fare zone,Year opened,Category,Coordinates
New Barnet,Barnet,Great Northern,NBA,5,1857,D,51.6488°N 0.1738°W
New Beckenham,Bromley,Southeastern,NBC,4,1857,E,51.4164°N 0.0348°W
New Cross,Lewisham,Southeastern,NWX,2,1850,C,51.4760°N 0.0325°W
New Cross Gate,Lewisham,London Overground,NXG,2,1839,C,51.4752°N 0.0406°W
New Eltham,Greenwich,Southeastern,NEH,4,1878,C,51.4380°N 0.0705°E
New Malden,Kingston upon Thames,South Western Railway,NEM,4,1838,C,51.4039°N 0.2560°W
New Southgate[41],Barnet,Great Northern,NSG,4,1850,E,51.6142°N 0.1432°W
Norbiton[12],Kingston upon Thames,South Western Railway,NBT,5,1869,C,51.4124°N 0.2838°W
Norbury[42],Croydon,Southern,NRB,3,1878,C,51.4114°N 0.1214°W
North Dulwich[12],Southwark,Southern,NDL,2/3,1868,E,51.4543°N 0.0887°W
Northolt Park,Ealing,Chiltern Railways,NLT,5,1926,E,51.5574°N 0.3595°W
North Sheen[12],Richmond upon Thames,South Western Railway,NSH,3,1930,E,51.4656°N 0.2865°W
Northumberland Park,Haringey,Greater Anglia,NUM,3,1840,E,51.5986°N 0.0551°W
North Wembley,Brent,London Underground,NWB,4,1912,E,51.5627°N 0.3040°W
Norwood Junction,Croydon,London Overground,NWD,4,1841,C,51.3971°N 0.0749°W
Nunhead,Southwark,Southeastern,NHD,2,1865,E,51.4671°N 0.0527°W
Oakleigh Park[43],Barnet,Great Northern,OKL,4,1873,D,51.6379°N 0.1667°W
Ockendon,Thurrockout-boundary,c2c,OCK,G,1892,E,51.5200°N 0.2900°E
Old StreetLondon,Islington,London Underground,OLD,1,1901,E,51.5258°N 0.0850°W
Orpington,Bromley,Southeastern,ORP,6,1868,C,51.3741°N 0.0885°E
PaddingtonLondon,Westminster,Network Rail,PAD,1,1838,A,51.5171°N 0.1769°W
Palmers Green[44],Enfield,Great Northern,PAL,4,1871,C,51.6184°N 0.1102°W
Peckham Rye,Southwark,Southern,PMR,2,1864,D,51.4701°N 0.0691°W
Penge East,Bromley,Southeastern,PNE,4,1862,D,51.4191°N 0.0537°W
Penge West,Bromley,London Overground,PNW,4,1839,E,51.4174°N 0.0606°W
Petts Wood,Bromley,Southeastern,PET,5,1928,C,51.3889°N 0.0742°E
Plumstead,Greenwich,Southeastern,PLU,4,1849,D,51.4897°N 0.0844°E
Ponders End[45],Enfield,Greater Anglia,PON,5,1840,C,51.6420°N 0.0349°W
Purfleet,Thurrockout-boundary,c2c,PFL,G,1854,D,51.4810°N 0.2370°E
Purley,Croydon,Southern,PUR,6,1841,C,51.3377°N 0.1135°W
Purley Oaks[12],Croydon,Southern,PUO,6,1899,D,51.3469°N 0.0987°W
