Station,Local authority,Managed by,Station code,Fare zone,Year opened,Category,Coordinates
Chipstead,Reigate and Bansteadout-boundary,Southern,CHP,6,1899,E,51.3093°N 0.1693°W
Chislehurst,Bromley,Southeastern,CIT,5,1865,D,51.4057°N 0.0573°E
Chiswick[9],Hounslow,South Western Railway,CHK,4,1849,E,51.4813°N 0.2683°W
Chorleywood,Three Riversout-boundary,London Underground,CLW,7,1889,unlisted,51.6541°N 0.5183°W
City ThameslinkLondon,City of London,Thameslink,CTK,1,1990,C,51.5163°N 0.1037°W
Clapham High Street,Lambeth,London Overground,CLP,2,1866,F,51.4658°N 0.1328°W
Clapham Junction,Wandsworth,South Western Railway,CLJ,2,1863,B,51.4644°N 0.1703°W
Clapton,Hackney,London Overground,CPT,2/3,1873,D,51.5617°N 0.0571°W
Clock House,Bromley,Southeastern,CLK,4,1864,D,51.4088°N 0.0411°W
Coulsdon South,Croydon,Southern,CDS,6,1889,D,51.3157°N 0.1380°W
Coulsdon Town,Croydon,Southern,CDN,6,1904,E,51.3219°N 0.1340°W
Crayford,Bexley,Southeastern,CRY,6,1866,D,51.4483°N 0.1786°E
Crews Hill[10],Enfield,Great Northern,CWH,6,1910,F,51.6845°N 0.1072°W
Cricklewood,Barnet,Thameslink,CRI,3,1868,E,51.5586°N 0.2129°W
Crofton Park,Lewisham,Southeastern,CFT,3,1892,E,51.4550°N 0.0367°W
Crouch Hill,Islington,London Overground,CRH,3,1868,E,51.5720°N 0.1171°W
Crystal Palace,Bromley,London Overground,CYP,3/4,1854,D,51.4182°N 0.0726°W
Dagenham Dock,Barking and Dagenham,c2c,DDK,5,1908,E,51.5268°N 0.1450°E
Dalston Junction,Hackney,London Overground,DLJ,2,2010c,unlisted,51.5453°N 0.0747°W
Dalston Kingsland,Hackney,London Overground,DLK,2,1983,D,51.5482°N 0.0763°W
Dartford,Dartfordout-boundary,Southeastern,DFD,8,1849,C,51.4475°N 0.2193°E
Denmark Hill,Southwark,Thameslink,DMK,2,1866,D,51.4683°N 0.0894°W
Deptford,Lewisham,Southeastern,DEP,2,1836,E,51.4788°N 0.0265°W
Drayton Green[11],Ealing,Great Western Railway,DRG,4,1905,F,51.5165°N 0.3300°W
Drayton Park,Islington,Great Northern,DYP,2,1904,E,51.5528°N 0.1055°W
Ealing Broadway,Ealing,TfL Rail,EAL,3,1838,C,51.5147°N 0.3017°W
Earlsfield[12],Wandsworth,South Western Railway,EAD,3,1884,D,51.4424°N 0.1877°W
East Croydon[13],Croydon,Southern,ECR,5,1841,B,51.3753°N 0.0930°W
East Dulwich,Southwark,Southern,EDW,2,1868,E,51.4616°N 0.0804°W
Eden Park,Bromley,Southeastern,EDN,5,1882,E,51.3900°N 0.0262°W
Edmonton Green,Enfield,London Overground,EDR,4,1872,C,51.6242°N 0.0614°W
Elephant & Castle[14],Southwark,Thameslink,EPH,1/2,1862,E,51.4938°N 0.0986°W
Elmers End,Bromley,Southeastern,ELE,4,1864,D,51.3981°N 0.0496°W
Elmstead Woods,Bromley,Southeastern,ESD,4,1904,D,51.4168°N 0.0441°E
Elstree & Borehamwood[15],Hertsmereout-boundary,Thameslink,ELS,6,1868,E,51.6531°N 0.2802°W
Eltham,Greenwich,Southeastern,ELW,4,1895,C,51.4555°N 0.0515°E
Emerson Park,Havering,London Overground,EMP,6,1909,F,51.5687°N 0.2204°E
Enfield Chase[10],Enfield,Great Northern,ENC,5,1910,D,51.6529°N 0.0908°W
Enfield Lock[16],Enfield,Greater Anglia,ENL,6,1855,E,51.6709°N 0.0284°W
Enfield Town[10],Enfield,London Overground,ENF,5,1849,C,51.6516°N 0.0792°W
Epsom Downs,Epsom and Ewellout-boundary,Southern,EPD,6,1865,F,51.3237°N 0.2389°W
Erith[17],Bexley,Southeastern,ERH,6,1849,E,51.4816°N 0.1754°E
Essex Road,Islington,Great Northern,EXR,2,1904,E,51.5406°N 0.0963°W
EustonLondon,Camden,Network Rail,EUS,1,1837,A,51.5287°N 0.1345°W
Ewell East,Epsom and Ewellout-boundary,Southern,EWE,6,1847,E,51.3451°N 0.2419°W
Ewell West,Epsom and Ewellout-boundary,South Western Railway,EWW,6,1859,C,51.3502°N 0.2569°W
Falconwood,Bexley,Southeastern,FCN,4,1936,D,51.4592°N 0.0799°E
Farringdon,Islington,London Underground,ZFD,1,1863,E,51.5206°N 0.1053°W
Feltham,Hounslow,South Western Railway,FEL,6,1848,C,51.4481°N 0.4088°W
Fenchurch StreetLondon,City of London,c2c,FST,1,1841,A,51.5114°N 0.0783°W
Finchley Road & Frognal,Camden,London Overground,FNY,2,1860,E,51.5499°N 0.1837°W
Finsbury Park,Islington,Great Northern,FPK,2,1861,C,51.564653°N 0.106366°W
Forest Gate[18],Newham,TfL Rail,FOG,3,1839,C,51.5494°N 0.0242°E
Forest Hill,Lewisham,London Overground,FOH,3,1839,C,51.4393°N 0.0533°W
Fulwell[19],Richmond upon Thames,South Western Railway,FLW,6,1864,E,51.4334°N 0.3508°W
Gidea Park[20],Havering,TfL Rail,GDP,6,1910,C,51.5820°N 0.2063°E
Gipsy Hill[12],Lambeth,Southern,GIP,3,1856,E,51.4246°N 0.0840°W
Goodmayes[21],Redbridge,TfL Rail,GMY,4,1901,C,51.5655°N 0.1109°E
Gordon Hill[10],Enfield,Great Northern,GDH,5,1910,D,51.6632°N 0.0943°W
Gospel Oak,Camden,London Overground,GPO,2,1860,D,51.5552°N 0.1514°W
Grange Park[10],Enfield,Great Northern,GPK,5,1910,E,51.6431°N 0.0969°W
Grays,Thurrockout-boundary,c2c,GRY,G,1854,C,51.4760°N 0.3220°E
Greenford,Ealing,London Underground,GFD,4,1904,unlisted,51.5426°N 0.3463°W
Greenwich,Greenwich,Southeastern,GNW,2/3,1836,D,51.4782°N 0.0134°W
Grove Park,Lewisham,Southeastern,GRP,4,1871,C,51.4306°N 0.0219°E
Gunnersbury,Hounslow,London Underground,GUN,3,1869,D,51.4918°N 0.2750°W
Hackbridge[12],Sutton,Southern,HCB,4,1868,E,51.3778°N 0.1539°W
Hackney Central,Hackney,London Overground,HKC,2,1980c,D,51.5470°N 0.0559°W
Hackney Downs[22],Hackney,London Overground,HAC,2,1872,C,51.5483°N 0.0601°W
Hackney Wick,Tower Hamlets,London Overground,HKW,2,1980,E,51.5432°N 0.0249°W
Hadley Wood[23],Enfield,Great Northern,HDW,6,1885,E,51.6688°N 0.1761°W
Haggerston,Hackney,London Overground,HGG,2,2010c,unlisted,51.5381°N 0.0736°W
Hampstead Heath,Camden,London Overground,HDH,2,1860,D,51.5553°N 0.1654°W
Hampton[12],Richmond upon Thames,South Western Railway,HMP,6,1864,C,51.4159°N 0.3717°W
Hampton Court,Elmbridgeout-boundary,South Western Railway,HMC,6,1849,C,51.4028°N 0.3425°W
Hampton Wick,Richmond upon Thames,South Western Railway,HMW,6,1863,D,51.4141°N 0.3107°W
Hanwell[24],Ealing,TfL Rail,HAN,4,1839,E,51.5116°N 0.3389°W
